codigo,nome,preco,estoque
1,Oculos_1,389.06,12
2,Bone_2,178.18,54
3,Relogio_3,997.96,80
4,Oculos_4,264.22,78
5,Oculos_5,433.18,53
6,Calca_6,504.15,28
7,Tenis_7,17.31,41
8,Bone_8,438.31,97
9,Tenis_9,902.46,88
10,Relogio_10,480.45,77
11,Mochila_11,798.16,97
12,Bermuda_12,344.52,88
13,Camisa_13,286.87,88
14,Oculos_14,969.82,41
15,Oculos_15,654.79,96
16,Relogio_16,962.79,60
17,Bone_17,414.04,30
18,Relogio_18,276.43,44
19,Calca_19,444.13,14
20,Meia_20,418.39,98
21,Mochila_21,896.68,92
22,Jaqueta_22,347.53,66
23,Calca_23,213.39,82
24,Meia_24,798.97,81
25,Mochila_25,78.18,57
26,Meia_26,379.92,66
27,Meia_27,630.49,40
28,Mochila_28,489.64,87
29,Calca_29,687.2,12
30,Relogio_30,662.57,67
31,Camisa_31,821.93,28
32,Camisa_32,568.07,91
33,Bone_33,79.82,35
34,Tenis_34,428.18,5
35,Oculos_35,977.17,39
36,Camisa_36,429.45,75
37,Relogio_37,958.76,28
38,Tenis_38,23.28,11
39,Bone_39,168.37,50
40,Relogio_40,180.04,9
41,Oculos_41,734.49,46
42,Jaqueta_42,231.86,16
43,Tenis_43,289.34,53
44,Bermuda_44,104.72,87
45,Calca_45,335.33,26
46,Meia_46,816.47,71
47,Bone_47,366.58,83
48,Tenis_48,29.08,91
49,Bermuda_49,828.37,85
50,Jaqueta_50,192.25,73
51,Jaqueta_51,712.28,26
52,Mochila_52,206.08,38
53,Jaqueta_53,824.86,67
54,Calca_54,794.01,87
55,Jaqueta_55,910.2,91
56,Calca_56,892.72,15
57,Mochila_57,952.92,4
58,Camisa_58,319.92,48
59,Bermuda_59,729.27,82
60,Relogio_60,625.98,4
61,Oculos_61,297.59,44
62,Bone_62,807.7,46
63,Bermuda_63,249.2,14
64,Tenis_64,664.1,86
65,Relogio_65,907.82,80
66,Jaqueta_66,38.71,100
67,Mochila_67,637.63,54
68,Relogio_68,273.16,65
69,Mochila_69,651.26,28
70,Camisa_70,504.27,48
71,Calca_71,457.05,97
72,Bermuda_72,529.99,92
73,Mochila_73,392.05,43
74,Calca_74,875.47,84
75,Camisa_75,962.52,26
76,Oculos_76,402.69,90
77,Mochila_77,138.84,6
78,Camisa_78,618.99,84
79,Relogio_79,813.45,36
80,Relogio_80,835.6,62
81,Mochila_81,619.37,53
82,Camisa_82,99.37,98
83,Relogio_83,475.18,27
84,Relogio_84,641.66,67
85,Bone_85,221.08,80
86,Oculos_86,636.41,11
87,Calca_87,128.0,76
88,Bone_88,113.79,35
89,Oculos_89,961.57,76
90,Camisa_90,61.27,30
91,Tenis_91,831.12,100
92,Camisa_92,963.36,11
93,Jaqueta_93,168.76,60
94,Meia_94,720.85,63
95,Tenis_95,621.86,76
96,Calca_96,985.74,34
97,Meia_97,419.86,97
98,Bone_98,989.69,51
99,Bermuda_99,112.54,36
100,Bermuda_100,584.12,36
101,Tenis_101,618.31,45
102,Jaqueta_102,656.94,35
103,Tenis_103,272.64,6
104,Oculos_104,272.29,56
105,Camisa_105,867.18,29
106,Calca_106,201.27,31
107,Bone_107,483.37,36
108,Relogio_108,357.22,18
109,Mochila_109,198.62,39
110,Mochila_110,578.18,11
111,Mochila_111,859.49,28
112,Camisa_112,989.69,55
113,Jaqueta_113,827.06,26
114,Camisa_114,788.22,39
115,Tenis_115,84.56,38
116,Jaqueta_116,407.74,59
117,Oculos_117,410.01,48
118,Tenis_118,267.08,21
119,Meia_119,266.47,37
120,Bone_120,400.46,96
121,Camisa_121,770.97,16
122,Meia_122,443.94,88
123,Tenis_123,572.95,99
124,Meia_124,499.35,8
125,Oculos_125,680.89,57
126,Meia_126,937.58,67
127,Jaqueta_127,976.97,55
128,Bermuda_128,337.69,44
129,Calca_129,781.26,45
130,Meia_130,182.05,38
131,Relogio_131,120.8,98
132,Mochila_132,819.31,91
133,Tenis_133,574.54,29
134,Oculos_134,862.67,41
135,Bermuda_135,65.88,50
136,Tenis_136,403.62,82
137,Oculos_137,454.34,28
138,Oculos_138,685.8,88
139,Jaqueta_139,136.9,38
140,Bone_140,235.28,62
141,Calca_141,598.85,98
142,Mochila_142,650.54,71
143,Bone_143,664.97,20
144,Mochila_144,95.74,57
145,Mochila_145,998.02,92
146,Jaqueta_146,96.2,50
147,Meia_147,528.79,42
148,Bone_148,306.62,12
149,Bermuda_149,312.39,42
150,Calca_150,544.4,65
151,Meia_151,334.73,29
152,Oculos_152,384.56,53
153,Oculos_153,606.72,72
154,Bermuda_154,135.1,91
155,Jaqueta_155,646.97,46
156,Relogio_156,858.1,71
157,Camisa_157,839.45,64
158,Mochila_158,635.86,6
159,Mochila_159,494.63,26
160,Bone_160,543.59,36
161,Oculos_161,936.83,95
162,Tenis_162,753.02,47
163,Mochila_163,600.92,6
164,Bermuda_164,942.57,32
165,Relogio_165,671.88,78
166,Camisa_166,865.94,96
167,Calca_167,43.38,22
168,Jaqueta_168,626.56,22
169,Tenis_169,783.07,5
170,Tenis_170,577.38,64
171,Calca_171,489.38,80
172,Oculos_172,459.69,79
173,Jaqueta_173,972.52,70
174,Bermuda_174,445.04,74
175,Calca_175,383.89,77
176,Tenis_176,336.4,92
177,Jaqueta_177,555.29,3
178,Bone_178,256.6,51
179,Camisa_179,590.83,4
180,Bone_180,707.65,20
181,Calca_181,896.57,62
182,Meia_182,302.62,5
183,Mochila_183,405.71,85
184,Tenis_184,985.59,49
185,Calca_185,257.63,88
186,Camisa_186,374.37,57
187,Calca_187,218.52,59
188,Oculos_188,494.8,82
189,Jaqueta_189,394.26,13
190,Camisa_190,744.12,29
191,Bone_191,242.0,6
192,Calca_192,596.77,92
193,Meia_193,735.35,60
194,Tenis_194,249.71,44
195,Relogio_195,29.22,41
196,Tenis_196,704.25,42
197,Relogio_197,461.99,26
198,Relogio_198,865.79,74
199,Tenis_199,665.85,31
200,Calca_200,668.29,23
201,Meia_201,362.68,49
202,Oculos_202,298.71,15
203,Relogio_203,498.79,40
204,Bermuda_204,574.72,43
205,Bone_205,476.57,69
206,Bone_206,775.42,43
207,Relogio_207,408.56,86
208,Bermuda_208,371.81,57
209,Bone_209,398.41,93
210,Oculos_210,47.7,21
211,Mochila_211,913.51,91
212,Jaqueta_212,290.35,86
213,Relogio_213,918.64,16
214,Jaqueta_214,743.33,55
215,Tenis_215,368.13,14
216,Meia_216,121.12,56
217,Bone_217,392.38,25
218,Camisa_218,482.23,19
219,Relogio_219,940.81,47
220,Tenis_220,517.95,20
221,Meia_221,246.41,1
222,Camisa_222,429.46,19
223,Calca_223,74.48,69
224,Calca_224,485.09,36
225,Mochila_225,423.39,74
226,Mochila_226,437.01,69
227,Bermuda_227,704.13,37
228,Meia_228,766.37,58
229,Meia_229,143.79,72
230,Camisa_230,258.4,68
231,Calca_231,466.24,50
232,Calca_232,94.88,75
233,Meia_233,205.11,79
234,Camisa_234,103.66,99
235,Relogio_235,251.91,55
236,Relogio_236,375.34,2
237,Jaqueta_237,370.67,52
238,Tenis_238,541.84,93
239,Jaqueta_239,181.09,4
240,Bermuda_240,136.78,47
241,Tenis_241,191.22,29
242,Bermuda_242,237.09,79
243,Mochila_243,304.07,32
244,Mochila_244,844.88,58
245,Mochila_245,343.01,39
246,Tenis_246,728.34,14
247,Jaqueta_247,604.12,15
248,Bermuda_248,359.34,57
249,Calca_249,820.54,86
250,Camisa_250,87.72,23
251,Jaqueta_251,278.94,91
252,Relogio_252,27.21,77
253,Bermuda_253,234.33,100
254,Jaqueta_254,154.71,93
255,Bermuda_255,700.26,11
256,Bermuda_256,696.41,1
257,Relogio_257,88.76,98
258,Oculos_258,925.38,94
259,Mochila_259,221.71,59
260,Relogio_260,890.61,5
261,Meia_261,990.34,54
262,Meia_262,241.02,91
263,Calca_263,155.64,42
264,Jaqueta_264,114.56,55
265,Jaqueta_265,383.11,74
266,Mochila_266,568.91,93
267,Oculos_267,56.24,73
268,Relogio_268,245.79,87
269,Mochila_269,690.59,82
270,Bermuda_270,715.17,40
271,Jaqueta_271,129.06,46
272,Bone_272,878.18,2
273,Relogio_273,172.85,55
274,Oculos_274,858.39,57
275,Mochila_275,340.01,22
276,Oculos_276,875.92,54
277,Tenis_277,617.64,67
278,Oculos_278,382.09,21
279,Meia_279,721.54,39
280,Calca_280,343.26,2
281,Camisa_281,820.24,11
282,Camisa_282,377.13,78
283,Bone_283,297.96,53
284,Meia_284,92.91,83
285,Jaqueta_285,327.77,53
286,Meia_286,927.39,73
287,Bone_287,930.13,32
288,Oculos_288,861.98,49
289,Bermuda_289,293.95,49
290,Bone_290,611.35,65
291,Bermuda_291,157.07,43
292,Tenis_292,720.96,95
293,Calca_293,50.54,83
294,Meia_294,755.54,52
295,Bone_295,954.72,70
296,Jaqueta_296,708.72,41
297,Tenis_297,366.48,95
298,Bermuda_298,30.77,48
299,Oculos_299,73.53,74
300,Calca_300,573.4,94
301,Bone_301,589.43,48
302,Mochila_302,392.14,95
303,Camisa_303,77.06,87
304,Meia_304,866.92,24
305,Calca_305,852.19,74
306,Mochila_306,196.46,10
307,Camisa_307,102.05,45
308,Calca_308,772.39,8
309,Jaqueta_309,596.88,15
310,Oculos_310,354.56,39
311,Bermuda_311,453.37,18
312,Oculos_312,411.17,48
313,Bermuda_313,124.49,85
314,Bone_314,962.68,88
315,Mochila_315,237.23,16
316,Bone_316,255.92,8
317,Calca_317,440.84,62
318,Bermuda_318,669.9,92
319,Meia_319,71.87,43
320,Bermuda_320,184.36,21
321,Meia_321,68.64,76
322,Calca_322,488.97,39
323,Bone_323,21.9,51
324,Calca_324,661.75,64
325,Camisa_325,141.97,9
326,Bermuda_326,378.14,3
327,Oculos_327,972.33,35
328,Mochila_328,405.7,62
329,Calca_329,928.52,71
330,Bermuda_330,906.04,11
331,Mochila_331,502.76,97
332,Oculos_332,978.25,45
333,Camisa_333,384.36,83
334,Mochila_334,122.74,27
335,Calca_335,345.33,26
336,Relogio_336,675.99,74
337,Bone_337,898.27,40
338,Tenis_338,473.4,2
339,Relogio_339,405.55,40
340,Mochila_340,601.11,47
341,Tenis_341,210.21,57
342,Bermuda_342,973.03,62
343,Bone_343,832.44,34
344,Camisa_344,645.84,57
345,Oculos_345,228.25,16
346,Tenis_346,924.72,46
347,Relogio_347,842.85,75
348,Meia_348,886.07,14
349,Relogio_349,196.72,50
350,Mochila_350,854.72,71
351,Meia_351,487.69,61
352,Camisa_352,923.15,65
353,Bermuda_353,846.23,12
354,Bermuda_354,924.94,17
355,Camisa_355,419.26,31
356,Camisa_356,751.77,69
357,Jaqueta_357,412.3,82
358,Camisa_358,632.63,9
359,Tenis_359,535.98,42
360,Relogio_360,151.36,52
361,Camisa_361,670.02,77
362,Mochila_362,556.23,80
363,Mochila_363,62.22,69
364,Jaqueta_364,255.18,39
365,Tenis_365,516.11,62
366,Camisa_366,309.29,42
367,Jaqueta_367,532.75,68
368,Oculos_368,822.83,87
369,Tenis_369,113.52,33
370,Jaqueta_370,605.86,66
371,Calca_371,970.3,82
372,Jaqueta_372,540.69,53
373,Oculos_373,482.57,46
374,Bone_374,253.05,82
375,Camisa_375,676.92,88
376,Bermuda_376,379.3,23
377,Jaqueta_377,796.45,75
378,Relogio_378,975.22,15
379,Oculos_379,231.57,58
380,Relogio_380,587.56,16
381,Meia_381,293.76,5
382,Relogio_382,477.59,99
383,Tenis_383,363.43,7
384,Relogio_384,72.49,35
385,Jaqueta_385,916.7,60
386,Oculos_386,678.24,70
387,Oculos_387,458.51,51
388,Mochila_388,367.39,27
389,Mochila_389,580.47,96
390,Bermuda_390,241.94,46
391,Jaqueta_391,829.32,80
392,Bermuda_392,380.02,59
393,Relogio_393,365.82,75
394,Oculos_394,164.66,16
395,Bone_395,433.67,58
396,Oculos_396,961.95,20
397,Bermuda_397,491.32,74
398,Calca_398,712.81,71
399,Relogio_399,43.69,10
400,Jaqueta_400,335.63,5
401,Mochila_401,416.32,16
402,Camisa_402,439.96,4
403,Mochila_403,879.23,84
404,Relogio_404,149.31,16
405,Camisa_405,13.05,10
406,Tenis_406,563.52,18
407,Mochila_407,917.06,53
408,Camisa_408,589.12,28
409,Meia_409,209.51,84
410,Camisa_410,184.25,48
411,Jaqueta_411,171.72,99
412,Tenis_412,999.78,24
413,Mochila_413,669.0,13
414,Oculos_414,663.18,14
415,Camisa_415,664.59,94
416,Tenis_416,743.39,45
417,Calca_417,119.96,44
418,Relogio_418,19.61,94
419,Meia_419,694.63,6
420,Oculos_420,83.24,78
421,Oculos_421,189.25,32
422,Relogio_422,657.56,10
423,Bone_423,670.36,17
424,Mochila_424,516.35,43
425,Calca_425,132.86,74
426,Bone_426,267.63,11
427,Calca_427,251.36,74
428,Relogio_428,889.34,35
429,Oculos_429,428.68,36
430,Camisa_430,137.75,23
431,Jaqueta_431,951.68,76
432,Meia_432,479.1,3
433,Tenis_433,156.98,73
434,Relogio_434,843.29,57
435,Bone_435,233.74,25
436,Tenis_436,918.18,98
437,Calca_437,204.11,29
438,Tenis_438,282.36,29
439,Oculos_439,760.36,74
440,Bermuda_440,68.55,31
441,Bermuda_441,533.66,12
442,Oculos_442,14.93,30
443,Oculos_443,454.01,70
444,Jaqueta_444,360.75,24
445,Mochila_445,677.11,45
446,Oculos_446,459.79,12
447,Oculos_447,434.23,56
448,Calca_448,717.26,13
449,Relogio_449,476.36,20
450,Jaqueta_450,537.35,53
451,Meia_451,43.55,7
452,Calca_452,739.91,98
453,Mochila_453,538.71,82
454,Relogio_454,72.32,38
455,Tenis_455,172.88,14
456,Tenis_456,207.51,89
457,Calca_457,348.25,47
458,Meia_458,123.67,1
459,Camisa_459,881.32,79
460,Meia_460,247.33,41
461,Mochila_461,781.67,53
462,Jaqueta_462,343.27,91
463,Tenis_463,233.73,73
464,Tenis_464,637.79,58
465,Bone_465,779.81,44
466,Jaqueta_466,332.47,80
467,Calca_467,17.77,49
468,Mochila_468,244.56,83
469,Oculos_469,903.41,93
470,Bermuda_470,197.68,1
471,Camisa_471,409.02,61
472,Mochila_472,906.12,30
473,Meia_473,280.22,3
474,Relogio_474,489.62,18
475,Tenis_475,881.78,78
476,Relogio_476,248.25,51
477,Bermuda_477,770.83,43
478,Calca_478,754.75,22
479,Mochila_479,435.58,38
480,Bone_480,713.76,10
481,Mochila_481,857.05,20
482,Mochila_482,577.88,83
483,Meia_483,294.03,22
484,Relogio_484,731.07,93
485,Camisa_485,532.38,92
486,Calca_486,316.31,17
487,Meia_487,123.51,44
488,Calca_488,484.06,50
489,Jaqueta_489,134.75,6
490,Relogio_490,866.01,60
491,Calca_491,595.75,37
492,Mochila_492,174.77,30
493,Tenis_493,408.49,88
494,Camisa_494,927.26,36
495,Bermuda_495,739.21,100
496,Relogio_496,951.58,12
497,Meia_497,830.24,77
498,Bermuda_498,704.24,3
499,Mochila_499,12.83,51
500,Calca_500,167.89,17
501,Meia_501,588.12,20
502,Tenis_502,859.51,12
503,Bermuda_503,723.5,90
504,Oculos_504,321.96,43
505,Relogio_505,404.48,32
506,Oculos_506,600.24,72
507,Jaqueta_507,557.6,14
508,Bone_508,570.37,88
509,Mochila_509,935.05,49
510,Camisa_510,425.56,75
511,Tenis_511,571.84,72
512,Calca_512,940.6,38
513,Meia_513,59.82,62
514,Tenis_514,215.45,86
515,Meia_515,725.8,52
516,Bone_516,710.38,37
517,Meia_517,132.88,82
518,Camisa_518,136.06,67
519,Tenis_519,719.92,66
520,Jaqueta_520,681.06,18
521,Jaqueta_521,473.22,9
522,Bermuda_522,435.64,37
523,Bone_523,165.05,59
524,Camisa_524,812.86,81
525,Tenis_525,749.58,13
526,Tenis_526,831.91,88
527,Calca_527,394.8,60
528,Relogio_528,36.58,62
529,Calca_529,277.23,46
530,Meia_530,997.78,13
531,Tenis_531,910.02,20
532,Bermuda_532,17.54,92
533,Tenis_533,660.31,74
534,Bermuda_534,894.0,2
535,Mochila_535,694.12,72
536,Meia_536,13.07,56
537,Oculos_537,653.05,72
538,Mochila_538,499.32,49
539,Tenis_539,72.83,27
540,Bermuda_540,758.5,19
541,Mochila_541,898.37,45
542,Meia_542,93.03,44
543,Bone_543,457.31,70
544,Calca_544,683.48,97
545,Oculos_545,614.48,14
546,Relogio_546,662.63,31
547,Mochila_547,789.6,6
548,Tenis_548,660.33,35
549,Mochila_549,553.12,9
550,Oculos_550,912.53,73
551,Camisa_551,171.71,26
552,Oculos_552,942.74,79
553,Tenis_553,427.42,58
554,Mochila_554,883.68,9
555,Oculos_555,317.14,86
556,Jaqueta_556,977.0,17
557,Bermuda_557,629.06,11
558,Bermuda_558,580.85,59
559,Mochila_559,38.0,86
560,Calca_560,61.63,38
561,Meia_561,651.01,43
562,Calca_562,894.63,34
563,Bermuda_563,760.61,58
564,Calca_564,116.62,23
565,Relogio_565,707.24,7
566,Jaqueta_566,75.98,17
567,Calca_567,112.28,22
568,Bone_568,472.65,6
569,Oculos_569,747.18,59
570,Meia_570,126.75,67
571,Meia_571,96.14,29
572,Tenis_572,694.79,10
573,Relogio_573,781.12,88
574,Tenis_574,77.94,42
575,Bone_575,468.99,79
576,Meia_576,582.77,40
577,Camisa_577,884.54,73
578,Calca_578,12.15,89
579,Jaqueta_579,432.43,19
580,Meia_580,879.55,30
581,Meia_581,623.45,30
582,Meia_582,904.48,33
583,Jaqueta_583,278.27,32
584,Relogio_584,271.94,58
585,Calca_585,314.68,42
586,Camisa_586,968.71,37
587,Bermuda_587,174.82,82
588,Oculos_588,788.84,78
589,Mochila_589,54.34,15
590,Relogio_590,297.5,2
591,Bermuda_591,939.31,17
592,Oculos_592,710.07,2
593,Bermuda_593,801.63,9
594,Camisa_594,228.57,58
595,Bermuda_595,343.19,99
596,Bermuda_596,249.08,1
597,Meia_597,972.76,40
598,Bermuda_598,562.9,64
599,Mochila_599,807.25,29
600,Mochila_600,240.43,56
601,Relogio_601,716.82,58
602,Bone_602,926.65,76
603,Tenis_603,200.84,81
604,Tenis_604,75.41,26
605,Bone_605,892.06,78
606,Oculos_606,198.46,96
607,Mochila_607,296.2,11
608,Camisa_608,605.38,22
609,Oculos_609,496.39,21
610,Camisa_610,736.77,90
611,Relogio_611,475.28,90
612,Bone_612,417.47,67
613,Bermuda_613,878.14,68
614,Calca_614,601.88,22
615,Camisa_615,950.86,88
